true,pred,probs,n_preds,entropy,alleotoric_entropy,info_gain
0,0,0.66317266,4,1.110909,0.3888952,0.7220138
32,32,0.5429959,3,1.4988143,0.88058645,0.6182279
2,2,0.9988968,1,0.010971526,0.009146693,0.0018248325
14,14,0.9987448,1,0.011348244,0.008964652,0.0023835916
1,1,1.0,1,1.0551333e-06,9.929394e-07,6.2193976e-08
24,24,0.9993879,1,0.005150584,0.00408209,0.0010684938
32,12,0.40789422,4,1.8029088,0.99054253,0.81236625
24,2,0.56886816,2,0.94859475,0.45376492,0.49482983
29,29,0.99751586,1,0.02060006,0.016838653,0.003761407
6,26,0.41846138,3,1.8839988,1.4384296,0.44556916
28,28,0.9995064,1,0.005525504,0.00463424,0.0008912636
24,24,0.9999668,1,0.00042334158,0.00036786776,5.547382e-05
4,24,0.79701483,2,0.7122074,0.46202573,0.25018165
8,8,0.4843301,3,1.4016833,0.67443925,0.7272441
24,24,0.9999032,1,0.001198182,0.0010248009,0.00017338106
4,4,0.8592308,2,0.43989372,0.15119389,0.28869984
32,32,0.83784974,2,0.5550725,0.14456262,0.41050988
13,13,0.54112846,2,0.7159503,0.31050083,0.40544948
13,13,0.99998933,1,0.00015170363,0.00013237854,1.9325089e-05
36,36,0.85486984,2,0.5937876,0.34819826,0.24558935
24,24,0.84464896,2,0.51292515,0.31987864,0.19304651
4,4,0.9999029,1,0.0011924453,0.0010510385,0.00014140678
25,25,0.91639817,1,0.429121,0.32889795,0.100223035
2,2,0.8347511,2,0.48572156,0.26816827,0.21755329
24,24,0.9999251,1,0.00094749604,0.00081200356,0.00013549248
13,13,0.9999837,1,0.000200936,0.00017485765,2.6078356e-05
26,26,0.97580683,1,0.1356262,0.09050337,0.045122825
24,24,0.9999777,1,0.0003018834,0.0002616676,4.021582e-05
19,19,0.9999841,1,0.00021483279,0.0001810081,3.382469e-05
12,12,0.99791855,1,0.01875713,0.015139794,0.003617335
8,4,0.26975065,3,1.8851928,0.9678091,0.9173837
4,4,0.9942695,1,0.035819754,0.026915804,0.00890395
